name,iso_country,iso_region,municipality,iata_code,region,country_name
Myitkyina Airport,MM,MM-11,Myitkyina,MYT,Kachin,Myanmar
Momeik Airport,MM,MM-17,Momeik,MOE,Shan,Myanmar
Mong Hsat Airport,MM,MM-17,Mong Hsat,MOG,Shan,Myanmar
Namsang Airport,MM,MM-17,Namsang,NMS,Shan,Myanmar
Putao Airport,MM,MM-11,Putao,PBU,Kachin,Myanmar
Sittwe Airport,MM,MM-16,Sittwe,AKY,Rakhine,Myanmar
Thandwe Airport,MM,MM-16,Thandwe,SNW,Rakhine,Myanmar
Tachileik Airport,MM,MM-17,Tachileik,THL,Shan,Myanmar
Yangon International Airport,MM,MM-06,Yangon,RGN,Yangon,Myanmar
Arvaikheer Airport,MN,MN-055,Arvaikheer,AVK,Ovorhangay,Mongolia
Altai Airport,MN,MN-065,Altai,LTI,Govi-Altay,Mongolia
Bayankhongor Airport,MN,MN-069,Bayankhongor,BYN,Bayanhongor,Mongolia
Bulgan Airport,MN,MN-067,Bulgan,UGA,Bulgan,Mongolia
Baruun Urt Airport,MN,MN-051,Baruun Urt,UUN,Suhbaatar,Mongolia
Choibalsan Airport,MN,MN-061,Choibalsan,COQ,Dornod,Mongolia
Ulaanbaatar International Airport,MN,MN-047,Ulaanbaatar,UBN,Tov,Mongolia
Dalanzadgad Airport,MN,MN-053,Dalanzadgad,DLZ,Omnogovi,Mongolia
Khovd Airport,MN,MN-043,Khovd,HVD,Hovd,Mongolia
Murun Airport,MN,MN-041,Murun,MXV,Hovsgol,Mongolia
Buyant-Ukhaa International Airport,MN,MN-1,Ulan Bator,ULN,Ulaanbaatar,Mongolia
Rota International Airport,MP,MP-U-A,Rota Island,ROP,Northern Mariana Islands,Northern Mariana Islands
Saipan International Airport,MP,MP-U-A,Saipan Island,SPN,Northern Mariana Islands,Northern Mariana Islands
Tinian International Airport,MP,MP-U-A,Tinian Island,TIQ,Northern Mariana Islands,Northern Mariana Islands
Martinique AimÃ© CÃ©saire International Airport,MQ,MQ-U-A,Le Lamentin,FDF,Martinique,Martinique
Nouakchott�Oumtounsy International Airport,MR,MR-14,Nouakchott,NKC,Nouakchott Nord,Mauritania
Atar International Airport,MR,MR-07,Atar,ATR,Adrar,Mauritania
Nouadhibou International Airport,MR,MR-08,Nouadhibou,NDB,Dakhlet Nouadhibou,Mauritania
John A. Osborne Airport,MS,MS-U-A,Little Bay,MNI,Saint Peter,Montserrat
Malta International Airport,MT,MT-25,Valletta,MLA,Luqa,Malta
Sir Seewoosagur Ramgoolam International Airport,MU,MU-GP,Port Louis,MRU,Grand Port,Mauritius
Sir Charles Gaetan Duval Airport,MU,MU-RO,Port Mathurin,RRG,Rodrigues Islands,Mauritius
Gan International Airport,MV,MV-01,Gan,GAN,Addu City,Maldives
Hanimaadhoo Airport,MV,MV-23,Haa Dhaalu Atoll,HAQ,South Thiladhunmathi,Maldives
Kadhdhoo Airport,MV,MV-05,Kadhdhoo,KDO,Hahdhunmathi,Maldives
Velana International Airport,MV,MV-MLE,Male,MLE,Male,Maldives
Kaadedhdhoo Airport,MV,MV-28,Huvadhu Atoll,KDM,South Huvadhu Atoll,Maldives
Villa Airport,MV,MV-13,Maamigili,VAM,North Maalhosmadulu,Maldives
Chileka International Airport,MW,MW-BL,Blantyre,BLZ,Blantyre,Malawi
Dwangwa Airport,MW,MW-NK,Dwangwa,DWA,Nkhotakota,Malawi
Karonga Airport,MW,MW-KR,Karonga,KGJ,Karonga,Malawi
Lilongwe International Airport,MW,MW-LI,Lilongwe,LLW,Lilongwe,Malawi
Mangochi Airport,MW,MW-MG,Mangochi,MAI,Mangochi,Malawi
Mzuzu Airport,MW,MW-MZ,Mzuzu,ZZU,Mzimba,Malawi
General Juan N Alvarez International Airport,MX,MX-GRO,Acapulco,ACA,Guerrero,Mexico
Del Norte International Airport,MX,MX-NLE,Monterrey,NTR,Nuevo Leon,Mexico
JesÃºs TerÃ¡n Paredo International Airport,MX,MX-AGU,Aguascalientes,AGU,Aguascalientes,Mexico
BahÃ­as de Huatulco International Airport,MX,MX-OAX,Huatulco,HUX,Oaxaca,Mexico
General Mariano Matamoros Airport,MX,MX-MOR,Cuernavaca,CVJ,Morelos,Mexico
Ciudad del Carmen International Airport,MX,MX-CAM,Ciudad del Carmen,CME,Campeche,Mexico
Bachigualato Federal International Airport,MX,MX-SIN,Culiacan,CUL,Sinaloa,Mexico
Chetumal International Airport,MX,MX-ROO,Chetumal,CTM,Quintana Roo,Mexico
Ciudad ObregÃ³n International Airport,MX,MX-SON,Ciudad Obreg�n,CEN,Sonora,Mexico
Ingeniero Alberto AcuÃ±a Ongay International Airport,MX,MX-CAM,Campeche,CPE,Campeche,Mexico
Abraham GonzÃ¡lez International Airport,MX,MX-CHH,Ciudad Ju�rez,CJS,Chihuahua,Mexico
Chichen Itza International Airport,MX,MX-YUC,Chichen Itza,CZA,Yucatan,Mexico
General Roberto Fierro Villalobos International Airport,MX,MX-CHH,Chihuahua,CUU,Chihuahua,Mexico
General Pedro Jose Mendez International Airport,MX,MX-TAM,Ciudad Victoria,CVM,Tamaulipas,Mexico
Captain Rogelio Castillo National Airport,MX,MX-GUA,Celaya,CYW,Guanajuato,Mexico
Cozumel International Airport,MX,MX-ROO,Cozumel,CZM,Quintana Roo,Mexico
Ciudad ConstituciÃ³n Airport,MX,MX-BCS,Ciudad Constituci�n,CUA,Baja California Sur,Mexico
General Guadalupe Victoria International Airport,MX,MX-DUR,Durango,DGO,Durango,Mexico
Amado Nervo National Airport,MX,MX-NAY,Tepic,TPQ,Nayarit,Mexico
Don Miguel Hidalgo Y Costilla International Airport,MX,MX-JAL,Guadalajara,GDL,Jalisco,Mexico
General JosÃ© MarÃ­a YÃ¡Ã±ez International Airport,MX,MX-SON,Guaymas,GYM,Sonora,Mexico
General Ignacio P. Garcia International Airport,MX,MX-SON,Hermosillo,HMO,Sonora,Mexico
Licenciado Miguel de la Madrid Airport,MX,MX-COL,Colima,CLQ,Colima,Mexico
Plan De Guadalupe International Airport,MX,MX-COA,Saltillo,SLW,Coahuila de Zaragoza,Mexico
Ixtepec Airport,MX,MX-OAX,Ixtepec,IZT,Oaxaca,Mexico
El Lencero Airport,MX,MX-VER,Xalapa,JAL,Veracruz de Ignacio de la Llave,Mexico
LÃ¡zaro CÃ¡rdenas Airport,MX,MX-MIC,L�zaro C�rdenas,LZC,Michoacan de Ocampo,Mexico
Valle del Fuerte International Airport,MX,MX-SIN,Los Mochis,LMM,Sinaloa,Mexico
Del BajÃ­o International Airport,MX,MX-GUA,Silao,BJX,Guanajuato,Mexico
Manuel MÃ¡rquez de LeÃ³n International Airport,MX,MX-BCS,La Paz,LAP,Baja California Sur,Mexico
Loreto International Airport,MX,MX-BCS,Loreto,LTO,Baja California Sur,Mexico
General Servando Canales International Airport,MX,MX-TAM,Matamoros,MAM,Tamaulipas,Mexico
Licenciado Manuel Crescencio Rejon Int Airport,MX,MX-YUC,M�rida,MID,Yucatan,Mexico
General Rodolfo SÃ¡nchez Taboada International Airport,MX,MX-BCN,Mexicali,MXL,Baja California,Mexico
General Francisco J. Mujica International Airport,MX,MX-MIC,Morelia,MLM,Michoacan de Ocampo,Mexico
MinatitlÃ¡n/Coatzacoalcos National Airport,MX,MX-VER,Minatitl�n,MTT,Veracruz de Ignacio de la Llave,Mexico
Monclova International Airport,MX,MX-COA,Monclova,LOV,Coahuila de Zaragoza,Mexico
Licenciado Benito Juarez International Airport,MX,MX-MEX,Mexico City,MEX,Mexico,Mexico
General Mariano Escobedo International Airport,MX,MX-NLE,Monterrey,MTY,Nuevo Leon,Mexico
General Rafael Buelna International Airport,MX,MX-SIN,Mazatl�n,MZT,Sinaloa,Mexico
QuetzalcÃ³atl International Airport,MX,MX-TAM,Nuevo Laredo,NLD,Tamaulipas,Mexico
XoxocotlÃ¡n International Airport,MX,MX-OAX,Oaxaca,OAX,Oaxaca,Mexico
El TajÃ­n National Airport,MX,MX-VER,Poza Rica,PAZ,Veracruz de Ignacio de la Llave,Mexico
Hermanos SerdÃ¡n International Airport,MX,MX-PUE,Puebla,PBC,Puebla,Mexico
Piedras Negras International Airport,MX,MX-COA,Piedras Negras,PDS,Coahuila de Zaragoza,Mexico
Licenciado y General Ignacio Lopez Rayon Airport,MX,MX-MIC,Uruapan,UPN,Michoacan de Ocampo,Mexico
Licenciado Gustavo DÃ­az Ordaz International Airport,MX,MX-JAL,Puerto Vallarta,PVR,Jalisco,Mexico
Puerto Escondido International Airport,MX,MX-OAX,Puerto Escondido,PXM,Oaxaca,Mexico
QuerÃ©taro Intercontinental Airport,MX,MX-QUE,Quer�taro,QRO,Queretaro,Mexico
General Lucio Blanco International Airport,MX,MX-TAM,Reynosa,REX,Tamaulipas,Mexico
Los Cabos International Airport,MX,MX-BCS,San Jose Del Cabo,SJD,Baja California Sur,Mexico
Ponciano Arriaga International Airport,MX,MX-SLP,San Luis Potosi,SLP,San Luis Potosi,Mexico
Francisco Sarabia International Airport,MX,MX-COA,Torre�n,TRC,Coahuila de Zaragoza,Mexico
Angel Albino Corzo International Airport,MX,MX-CHP,Tuxtla Guti�rrez,TGZ,Chiapas,Mexico
General Abelardo L. RodrÃ­guez International Airport,MX,MX-BCN,Tijuana,TIJ,Baja California,Mexico
General Francisco Javier Mina International Airport,MX,MX-TAM,Tampico,TAM,Tamaulipas,Mexico
Licenciado Adolfo Lopez Mateos International Airport,MX,MX-MEX,Toluca,TLC,Mexico,Mexico
Tapachula International Airport,MX,MX-CHP,Tapachula,TAP,Chiapas,Mexico
CancÃºn International Airport,MX,MX-ROO,Canc�n,CUN,Quintana Roo,Mexico
Carlos Rovirosa PÃ©rez International Airport,MX,MX-TAB,Villahermosa,VSA,Tabasco,Mexico
General Heriberto Jara International Airport,MX,MX-VER,Veracruz,VER,Veracruz de Ignacio de la Llave,Mexico
General Leobardo C. Ruiz International Airport,MX,MX-ZAC,Zacatecas,ZCL,Zacatecas,Mexico
Ixtapa Zihuatanejo International Airport,MX,MX-GRO,Ixtapa,ZIH,Guerrero,Mexico
Playa De Oro International Airport,MX,MX-COL,Manzanillo,ZLO,Colima,Mexico
Bintulu Airport,MY,MY-13,Bintulu,BTU,Sarawak,Malaysia
Kuching International Airport,MY,MY-13,Kuching,KCH,Sarawak,Malaysia
Limbang Airport,MY,MY-13,Limbang,LMN,Sarawak,Malaysia
Marudi Airport,MY,MY-13,Marudi,MUR,Sarawak,Malaysia
Miri Airport,MY,MY-13,Miri,MYY,Sarawak,Malaysia
Sibu Airport,MY,MY-13,Sibu,SBW,Sarawak,Malaysia
Bario Airport,MY,MY-13,Bario,BBN,Sarawak,Malaysia
Lahad Datu Airport,MY,MY-12,Lahad Datu,LDU,Sabah,Malaysia
Kota Kinabalu International Airport,MY,MY-12,Kota Kinabalu,BKI,Sabah,Malaysia
Labuan Airport,MY,MY-15,Labuan,LBU,Wilayah Persekutuan Labuan,Malaysia
Sandakan Airport,MY,MY-12,Sandakan,SDK,Sabah,Malaysia
Tawau Airport,MY,MY-12,Tawau,TWU,Sabah,Malaysia
Mulu Airport,MY,MY-13,Mulu,MZV,Sarawak,Malaysia
Pulau Tioman Airport,MY,MY-06,Pulau Tioman,TOD,Pahang,Malaysia
Sultan Abdul Halim Airport,MY,MY-02,Alor Setar,AOR,Kedah,Malaysia
Butterworth Airport,MY,MY-07,Butterworth,BWH,Pulau Pinang,Malaysia
Sultan Ismail Petra Airport,MY,MY-03,Kota Baharu,KBR,Kelantan,Malaysia
Kuantan Airport,MY,MY-06,Kuantan,KUA,Pahang,Malaysia
Kerteh Airport,MY,MY-11,Kerteh,KTE,Terengganu,Malaysia
Sultan Azlan Shah Airport,MY,MY-08,Ipoh,IPH,Perak,Malaysia
Senai International Airport,MY,MY-01,Johor Bahru,JHB,Johor,Malaysia
Kuala Lumpur International Airport,MY,MY-14,Kuala Lumpur,KUL,Wilayah Persekutuan Kuala Lumpur,Malaysia
Langkawi International Airport,MY,MY-02,Langkawi,LGK,Kedah,Malaysia
Malacca Airport,MY,MY-04,Malacca,MKZ,Melaka,Malaysia
Sultan Mahmud Airport,MY,MY-11,Kuala Terengganu,TGG,Terengganu,Malaysia
Penang International Airport,MY,MY-07,Penang,PEN,Pulau Pinang,Malaysia
Sultan Abdul Aziz Shah International Airport,MY,MY-10,Subang,SZB,Selangor,Malaysia
Benguera Island Airport,MZ,MZ-I,Benguera Island,BCW,Inhambane,Mozambique
Bazaruto Island Airport,MZ,MZ-I,Bazaruto Island,BZB,Inhambane,Mozambique
Beira Airport,MZ,MZ-S,Beira,BEW,Sofala,Mozambique
Chimoio Airport,MZ,MZ-B,Chimoio,VPY,Manica,Mozambique
Inhambane Airport,MZ,MZ-I,Inhambane,INH,Inhambane,Mozambique
Lichinga Airport,MZ,MZ-A,Lichinga,VXC,Niassa,Mozambique
Maputo Airport,MZ,MZ-MPM,Maputo,MPM,Maputo,Mozambique
Mueda Airport,MZ,MZ-P,Mueda,MUD,Cabo Delgado,Mozambique
Mocimboa da Praia Airport,MZ,MZ-P,Mocimboa da Praia,MZB,Cabo Delgado,Mozambique
Nampula Airport,MZ,MZ-N,Nampula,APL,Nampula,Mozambique
Pemba Airport,MZ,MZ-P,Pemba / Porto Amelia,POL,Cabo Delgado,Mozambique
Quelimane Airport,MZ,MZ-Q,Quelimane,UEL,Zambezia,Mozambique
Chingozi Airport,MZ,MZ-T,Tete,TET,Tete,Mozambique
Vilankulo Airport,MZ,MZ-I,Vilanculo,VNX,Inhambane,Mozambique
Indigo Bay Lodge Airport,MZ,MZ-I,Arandis,IBL,Inhambane,Mozambique
Arandis Airport,,NA-ER,Grootfontein,ADI,Erongo,Namibia
Grootfontein Airport,,NA-OD,Keetmanshoop,GFY,Otjozondjupa,Namibia
Keetmanshoop Airport,,NA-KA,Luderitz,KMP,Karas,Namibia
Luderitz Airport,,NA-KA,Ondangwa,LUD,Karas,Namibia
Ondangwa Airport,,NA-ON,Oranjemund,OND,Oshana,Namibia
Oranjemund Airport,,NA-KA,Rundu,OMD,Karas,Namibia
Rundu Airport,,NA-KE,Tsumeb,NDU,Kavango East,Namibia
Tsumeb Airport,,NA-OT,Walvis Bay,TSB,Oshikoto,Namibia
Walvis Bay Airport,,NA-ER,Windhoek,WVB,Erongo,Namibia
Eros Airport,,NA-KH,Tiga,ERS,Khomas,Namibia
Hosea Kutako International Airport,,NA-KH,Waala,WDH,Khomas,Namibia
Tiga Airport,NC,NC-U-L,Kon�,TGJ,Province des iles Loyaute,New Caledonia
Ãle Art - Waala Airport,NC,NC-U-N,�le des Pins,BMY,Province Nord,New Caledonia
KonÃ© Airport,NC,NC-U-N,Kon�,KNQ,Province Nord,New Caledonia
Ãle des Pins Airport,NC,NC-U-S,�le des Pins,ILP,Province Sud,New Caledonia
Koumac Airport,NC,NC-U-N,Koumac,KOC,Province Nord,New Caledonia
Lifou Airport,NC,NC-U-L,Lifou,LIF,Province des iles Loyaute,New Caledonia
NoumÃ©a Magenta Airport,NC,NC-U-S,Noumea,GEA,Province Sud,New Caledonia
MarÃ© Airport,NC,NC-U-L,Mare,MEE,Province des iles Loyaute,New Caledonia
Touho Airport,NC,NC-U-N,Touho,TOU,Province Nord,New Caledonia
OuvÃ©a Airport,NC,NC-U-L,Ouv�a,UVE,Province des iles Loyaute,New Caledonia
La Tontouta International Airport,NC,NC-U-S,Noumea,NOU,Province Sud,New Caledonia
Maradi Airport,NE,NE-4,Maradi,MFQ,Maradi,Niger
Diori Hamani International Airport,NE,NE-8,Niamey,NIM,Niamey,Niger
Tahoua Airport,NE,NE-5,Tahoua,THZ,Tahoua,Niger
Mano Dayak International Airport,NE,NE-1,Agadez,AJY,Agadez,Niger
Zinder Airport,NE,NE-7,Zinder,ZND,Zinder,Niger
Norfolk Island International Airport,NF,NF-U-A,Burnt Pine,NLK,Norfolk Island,Norfolk Island
Nnamdi Azikiwe International Airport,NG,NG-FC,Abuja,ABV,Abuja Federal Capital Territory,Nigeria
Akwa Ibom International Airport,NG,NG-AK,Uyo,QUO,Akwa Ibom,Nigeria
Akure Airport,NG,NG-ON,Akure,AKR,Ondo,Nigeria
Asaba International Airport,NG,NG-DE,Asaba,ABB,Delta,Nigeria
Sir Abubakar Tafawa Balewa International Airport,NG,NG-BA,Bauchi,BCU,Bauchi,Nigeria
Benin Airport,NG,NG-ED,Benin,BNI,Edo,Nigeria
Margaret Ekpo International Airport,NG,NG-CR,Calabar,CBQ,Cross River,Nigeria
Akanu Ibiam International Airport,NG,NG-EN,Enugu,ENU,Enugu,Nigeria
Ibadan Airport,NG,NG-OY,Ibadan,IBA,Oyo,Nigeria
Ilorin International Airport,NG,NG-KW,Ilorin,ILR,Kwara,Nigeria
Sam Mbakwe International Airport,NG,NG-IM,Owerri,QOW,Imo,Nigeria
Yakubu Gowon Airport,NG,NG-PL,Jos,JOS,Plateau,Nigeria
Kaduna Airport,NG,NG-KD,Kaduna,KAD,Kaduna,Nigeria
Mallam Aminu International Airport,NG,NG-KN,Kano,KAN,Kano,Nigeria
Maiduguri International Airport,NG,NG-BO,Maiduguri,MIU,Borno,Nigeria
Makurdi Airport,NG,NG-BE,Makurdi,MDI,Benue,Nigeria
Murtala Muhammed International Airport,NG,NG-LA,Lagos,LOS,Lagos,Nigeria
Minna Airport,NG,NG-NI,Minna,MXJ,Niger,Nigeria
Port Harcourt International Airport,NG,NG-RI,Port Harcourt,PHC,Rivers,Nigeria
Sadiq Abubakar III International Airport,NG,NG-SO,Sokoto,SKO,Sokoto,Nigeria
Yola Airport,NG,NG-AD,Yola,YOL,Adamawa,Nigeria
Zaria Airport,NG,NG-KD,Zaria,ZAR,Kaduna,Nigeria
Gombe Lawanti International Airport,NG,NG-GO,Gombe,GMO,Gombe,Nigeria
Warri Airport,NG,NG-DE,Warri,QRW,Delta,Nigeria
Bluefields Airport,NI,NI-AS,Bluefields,BEF,Costa Caribe Sur,Nicaragua
Augusto C. Sandino (Managua) International Airport,NI,NI-MN,Managua,MGA,Managua,Nicaragua
Puerto Cabezas Airport,NI,NI-AN,Puerto Cabezas,PUZ,Costa Caribe Norte,Nicaragua
Amsterdam Airport Schiphol,NL,NL-NH,Amsterdam,AMS,Noord-Holland,Netherlands
Maastricht Aachen Airport,NL,NL-LI,Maastricht,MST,Limburg,Netherlands
Eindhoven Airport,NL,NL-NB,Eindhoven,EIN,Noord-Brabant,Netherlands
Eelde Airport,NL,NL-DR,Groningen,GRQ,Drenthe,Netherlands
De Kooy Airport,NL,NL-NH,Den Helder,DHR,Noord-Holland,Netherlands
Lelystad Airport,NL,NL-FL,Lelystad,LEY,Flevoland,Netherlands
Rotterdam The Hague Airport,NL,NL-ZH,Rotterdam,RTM,Zuid-Holland,Netherlands
Twente Airport,NL,NL-OV,Enschede,ENS,Overijssel,Netherlands
Ãlesund Airport,NO,NO-15,Alesund,AES,More and Romsdal,Norway
AndÃ¸ya Airport,NO,NO-18,Andenes,ANX,Nordland,Norway
Alta Airport,NO,NO-54,Alta,ALF,Troms and Finnmark,Norway
BrÃ¸nnÃ¸ysund Airport,NO,NO-18,Bronnoy,BNN,Nordland,Norway
BodÃ¸ Airport,NO,NO-18,Bodo,BOO,Nordland,Norway
Bergen Airport Flesland,NO,NO-46,Bergen,BGO,Vestland,Norway
BÃ¥tsfjord Airport,NO,NO-54,Batsfjord,BJF,Troms and Finnmark,Norway
BerlevÃ¥g Airport,NO,NO-54,Berlevag,BVG,Troms and Finnmark,Norway
Kristiansand Airport,NO,NO-42,Kjevik,KRS,Agder,Norway
Bardufoss Airport,NO,NO-54,Malselv,BDU,Troms and Finnmark,Norway
"Harstad/Narvik Airport, Evenes",NO,NO-18,Evenes,EVE,Nordland,Norway
Leirin Airport,NO,NO-34,Nord-Aurdal,VDB,Innlandet,Norway
FlorÃ¸ Airport,NO,NO-46,Floro,FRO,Vestland,Norway
Oslo Gardermoen Airport,NO,NO-03,Oslo,OSL,Oslo,Norway
Haugesund Airport,NO,NO-11,Karmoy,HAU,Rogaland,Norway
Hammerfest Airport,NO,NO-54,Hammerfest,HFT,Troms and Finnmark,Norway
Valan Airport,NO,NO-54,Honningsv�g,HVG,Troms and Finnmark,Norway
Kristiansund Airport (Kvernberget),NO,NO-15,Kvernberget,KSU,More and Romsdal,Norway
Kirkenes Airport (HÃ¸ybuktmoen),NO,NO-54,Kirkenes,KKN,Troms and Finnmark,Norway
Leknes Airport,NO,NO-18,Leknes,LKN,Nordland,Norway
Mehamn Airport,NO,NO-54,Mehamn,MEH,Troms and Finnmark,Norway
Molde Airport,NO,NO-15,Aro,MOL,More and Romsdal,Norway
MosjÃ¸en Airport (KjÃ¦rstad),NO,NO-18,Vefsn,MJF,Nordland,Norway
Banak Airport,NO,NO-18,Lakselv,LKL,Nordland,Norway
Narvik Framnes Airport,NO,NO-18,Narvik,NVK,Nordland,Norway
Notodden Airport,NO,NO-38,Notodden,NTB,Vestfold and Telemark,Norway
Ãrland Airport,NO,NO-50,Orland,OLA,Trondelag,Norway
"Ãrsta-Volda Airport, Hovden",NO,NO-15,Orsta,HOV,More and Romsdal,Norway
"Mo i Rana Airport, RÃ¸ssvoll",NO,NO-18,Mo i Rana,MQN,Nordland,Norway
"RÃ¸rvik Airport, Ryum",NO,NO-50,Rorvik,RVK,Trondelag,Norway
RÃ¸ros Airport,NO,NO-50,Roros,RRS,Trondelag,Norway
"Moss Airport, Rygge",NO,NO-03,Oslo,RYG,Oslo,Norway
"Svalbard Airport, Longyear",NO,NO-21,Longyearbyen,LYR,Svalbard,Norway
SvolvÃ¦r Helle Airport,NO,NO-18,Svolvaer,SVJ,Nordland,Norway
Stokmarknes Skagen Airport,NO,NO-18,Hadsel,SKN,Nordland,Norway
Skien Airport,NO,NO-38,Geiteryggen,SKE,Vestfold and Telemark,Norway
Stord Airport,NO,NO-46,Leirvik,SRP,Vestland,Norway
SÃ¸rkjosen Airport,NO,NO-54,Sorkjosen,SOJ,Troms and Finnmark,Norway
"VardÃ¸ Airport, Svartnes",NO,NO-54,Vardo,VAW,Troms and Finnmark,Norway
SandnessjÃ¸en Airport (Stokka),NO,NO-18,Alstahaug,SSJ,Nordland,Norway
TromsÃ¸ Airport,NO,NO-54,Tromso,TOS,Troms and Finnmark,Norway
"Sandefjord Airport, Torp",NO,NO-46,Torp,TRF,Vestland,Norway
Trondheim Airport VÃ¦rnes,NO,NO-50,Trondheim,TRD,Trondelag,Norway
VadsÃ¸ Airport,NO,NO-54,Vadso,VDS,Troms and Finnmark,Norway
Stavanger Airport Sola,NO,NO-11,Stavanger,SVG,Rogaland,Norway
Gautam Buddha Airport,NP,NP-P5,Bhairawa,BWA,Lumbini,Nepal
Janakpur Airport,NP,NP-P2,Janakpur,JKR,Madhesh,Nepal
Tribhuvan International Airport,NP,NP-P3,Kathmandu,KTM,Bagmati,Nepal
Nepalgunj Airport,NP,NP-P5,Nepalgunj,KEP,Lumbini,Nepal
Pokhara Airport,NP,NP-P4,Pokhara,PKR,Gandaki,Nepal
Taplejung Airport,NP,NP-P1,Taplejung,TPJ,Koshi,Nepal
Biratnagar Airport,NP,NP-P1,Biratnagar,BIR,Koshi,Nepal
Nauru International Airport,NR,NR-14,Yaren District,INU,Yaren,Nauru
Niue International Airport,NU,NU-U-A,Alofi,IUE,Niue,Niue
Auckland International Airport,NZ,NZ-AUK,Auckland,AKL,Auckland,New Zealand
Taupo Airport,NZ,NZ-WKO,Taupo,TUO,Waikato,New Zealand
Ardmore Airport,NZ,NZ-AUK,Manurewa,AMZ,Auckland,New Zealand
Christchurch International Airport,NZ,NZ-CAN,Christchurch,CHC,Canterbury,New Zealand
Chatham Islands-Tuuta Airport,NZ,NZ-WGN,Waitangi,CHT,Greater Wellington,New Zealand
Dunedin Airport,NZ,NZ-OTA,Dunedin,DUD,Otago,New Zealand
Gisborne Airport,NZ,NZ-GIS,Gisborne,GIS,Gisborne,New Zealand
Glentanner Airport,NZ,NZ-CAN,Glentanner Station,GTN,Canterbury,New Zealand
Hokitika Airfield,NZ,NZ-WTC,Hokitika,HKK,West Coast,New Zealand
Hamilton International Airport,NZ,NZ-WKO,Hamilton,HLZ,Waikato,New Zealand
Kerikeri Airport,NZ,NZ-NTL,Kerikeri,KKE,Northland,New Zealand
Kaitaia Airport,NZ,NZ-NTL,Kaitaia,KAT,Northland,New Zealand
Alexandra Airport,NZ,NZ-OTA,Alexandra,ALR,Otago,New Zealand
Mount Cook Airport,NZ,NZ-CAN,Mount Cook,MON,Canterbury,New Zealand
"Te Anau Airport,Manapouri",NZ,NZ-STL,"TeAnau, Manapouri",TEU,Southland,New Zealand
Hood Airport,NZ,NZ-WGN,Masterton,MRO,Greater Wellington,New Zealand
New Plymouth Airport,NZ,NZ-TKI,New Plymouth,NPL,Taranaki,New Zealand
Hawke's Bay Airport,NZ,NZ-HKB,Napier,NPE,Hawke's Bay,New Zealand
Nelson Airport,NZ,NZ-NSN,Nelson,NSN,Nelson,New Zealand
Invercargill Airport,NZ,NZ-STL,Invercargill,IVC,Southland,New Zealand
Palmerston North Airport,NZ,NZ-MWT,Palmerston North�,PMR,Manawatu-Whanganui,New Zealand
Kapiti Coast  Airport,NZ,NZ-WGN,Paraparaumu,PPQ,Greater Wellington,New Zealand
Queenstown International Airport,NZ,NZ-OTA,Queenstown,ZQN,Otago,New Zealand
Rotorua Regional Airport,NZ,NZ-BOP,Rotorua,ROT,Bay of Plenty,New Zealand
Tauranga Airport,NZ,NZ-BOP,Tauranga,TRG,Bay of Plenty,New Zealand
Timaru Airport,NZ,NZ-CAN,Timaru,TIU,Canterbury,New Zealand
Pukaki Airport,NZ,NZ-CAN,Twitzel,TWZ,Canterbury,New Zealand
Woodbourne Airport,NZ,NZ-MBH,Blenheim,BHE,Marlborough,New Zealand
Wanaka Airport,NZ,NZ-OTA,Wanaka,WKA,Otago,New Zealand
Whakatane Airport,NZ,NZ-BOP,Whakatane,WHK,Bay of Plenty,New Zealand
Wellington International Airport,NZ,NZ-WGN,Wellington,WLG,Greater Wellington,New Zealand
Wairoa Airport,NZ,NZ-HKB,Wairoa,WIR,Hawke's Bay,New Zealand
Whangarei Airport,NZ,NZ-NTL,Whangarei ,WRE,Northland,New Zealand
Westport Airport,NZ,NZ-WTC,Westport,WSZ,West Coast,New Zealand
Wanganui Airport,NZ,NZ-MWT,Wanganui,WAG,Manawatu-Whanganui,New Zealand
Duqm International Airport,OM,OM-WU,Duqm,DQM,Al Wusta,Oman
Rustaq Airport,OM,OM-BA,Al Masna'ah,MNH,,Oman
Muscat International Airport,OM,OM-MA,Muscat,MCT,Masqat,Oman
Salalah Airport,OM,OM-ZU,Salalah,SLL,Zufar,Oman
Bocas Del Toro International Airport,PA,PA-1,Isla Colon,BOC,Bocas del Toro,Panama
Alonso Valderrama Airport,PA,PA-6,Chitre,CTD,Herrera,Panama
Cap Manuel NiÃ±o International Airport,PA,PA-1,Changuinola,CHX,Bocas del Toro,Panama
Enrique Malek International Airport,PA,PA-4,David,DAV,Chiriqui,Panama
Enrique Adolfo Jimenez Airport,PA,PA-3,Colon,ONX,Colon,Panama
Marcos A. Gelabert International Airport,PA,PA-8,Albrook,PAC,Panama,Panama
Ruben Cantu Airport,PA,PA-9,Santiago,SYP,Veraguas,Panama
Tocumen International Airport,PA,PA-8,Tocumen,PTY,Panama,Panama
Teniente General Gerardo PÃ©rez Pinedo Airport,PE,PE-UCA,Atalaya,AYX,Ucayali,Peru
Iberia Airport,PE,PE-MDD,Iberia,IBP,Madre de Dios,Peru
Cap FAP David Abenzur Rengifo International Airport,PE,PE-UCA,Pucallpa,PCL,Ucayali,Peru
Teniente FAP Jaime A De Montreuil Morales Airport,PE,PE-ANC,Chimbote,CHM,Ancash,Peru
